,ID,OPSHEET ID,SITE NO,SITE,DATE,MUNICIPALITY,BUS PRIORITY
33,34,1363_sheet012.htm,1363.0,CRAIGIEBURN RD/VANTAGE BLVD/BARITONE BLVD,2014-04-01 00:00:00,HUME,"['MSS1 - Set by bus on detector 11.', 'MSS2 - Set by bus on detector 16.', 'MSS3 - Set when bus leaving detector 11.', 'MSS4 - Set when bus leaving detector 16.', 'CØ with a bus on detector 11.', 'CØ with a bus on detector 16.', 'Detectors 11 and 16 (Bus Operation)', '6. Bus leaving detector 11 sets MSS3 for 4 seconds.', '7. Bus leaving detector 16 sets MSS4 for 4 seconds.']"
34,35,1377_sheet002.htm,1377.0,"KING
  STREET NR WYENA WAY",2011-11-16 00:00:00,MANNINGHAM,"['Detectors 4, 5 & 6 are bus loops']"
35,36,1377_sheet004.htm,1377.0,"KING
  STREET NR WYENA WAY",2011-11-16 00:00:00,MANNINGHAM,"['Bus Detector - refer to Special Notes', 'Bus Detector - refer to Special Notes', 'Bus Detector - refer to Special Notes']"
36,37,1377_sheet008.htm,1377.0,"KING
  STREET NR WYENA WAY",2011-11-16 00:00:00,MANNINGHAM,"['1 : Presence time for a stopping bus', 'Timer 2 : Loading / unloading time for a bus']"
37,38,1377_sheet011.htm,1377.0,"KING
  STREET NR WYENA WAY",2011-11-16 00:00:00,MANNINGHAM,"['Inhibit demand for Pedestrian 1 via the operation of Bus detectors 5 and 6.', 'Ignore Pedestrian 1 operation via detector 1 and bus detector 4.', 'Bus being detected via Detectors 5 and 6 described below.', 'OPERATION OF BUS DETECTORS (Detectors 5 and 6)', 'The demand for P1 via Bus Detectors 5 and 6 is a non-locking call i.e. if the conditions mentioned in a, b, c above are satisfied then the call for P1 will be maintained until Detector 5 changes to the off state or', 'If P1 is demanded and operates due to Bus Detectors 5 and 6 only, set MSS1 flag. MSS1 will be cleared when bus leaves detector 5. Substitute Special Purpose Timesetting No. 21. for the P1 walk time (note: Puffin operation extending the walk and flashing clearance to operate normally if pedestrian uses crossing).', 'If P1 is demanded by Detector 7 (Pedestrian Push Buttons) as well as Detectors 5 and 6 (Bus), then operate P1 normally as described in Puffin operation', 'If XSF1 flag is set, disable the calling of Pedestrian 1 via Bus Detectors 5 and 6.', 'PEDESTRIAN OPERATION AND BUS OPERATION AT THE KING STREET BUS STOP', 'Presence of A Bus', 'The following constitute the presence of a stopping bus:', 'Set MSS2 when a bus is detected. Clear MSS2 when detector 1 changes to OFF state', '(i.e. bus has departed)', 'The presence of a stopping bus', 'The presence of a bus will affect the operation of Pedestrian 1 in the following manner:', 'i.e. allows P1 introduction while the bus is loading/unloading passengers at the bus stop;', 'i.e. permits bus to proceed past the bus stop from this approach.', 'i.e. to be used in case where bus has stopped for longer period than normal.']"
38,39,1387_sheet004.htm,1387.0,HIGHETT ROAD / TRAIN STREET,2017-04-12 00:00:00,BAYSIDE,"['BUS DETECTOR', 'BUS DETECTOR']"
39,40,1394_sheet004.htm,1394.0,"LILYDALE-MONBULK
  ROAD NR JOY AVENUE",2012-04-27 00:00:00,YARRA RANGES,['Bus Loop (Refer to Notes on Page 3/3)']
40,41,1394_sheet007.htm,1394.0,"LILYDALE-MONBULK
  ROAD NR JOY AVENUE",2012-04-27 00:00:00,YARRA RANGES,"['When set, Inhibit Bus Operation (SG3) via detector 2', 'BUS', '1. If XSF2 is set, disable the Bus Operation via detector 2', 'SG2 is conditional on the bus demand via detector 2', '3. A non-locking bus demand is placed for SG3 via detector 2 located in the Bus Lane.']"
41,42,1396_sheet002.htm,1396.0,"PRINCES
  HIGHWAY/DOVETON AVE/EASTERN CAR PARK ACCESS",2012-07-02 00:00:00,CASEY,['Detectors 16 & 17 are bus detectors']
42,43,1396_sheet004.htm,1396.0,"PRINCES
  HIGHWAY/DOVETON AVE/EASTERN CAR PARK ACCESS",2012-07-02 00:00:00,CASEY,"['BUS DETECTOR', 'BUS DETECTOR']"
43,44,1396_sheet012.htm,1396.0,"PRINCES
  HIGHWAY/DOVETON AVE/EASTERN CAR PARK ACCESS",2012-07-02 00:00:00,CASEY,"['When set inhibit detector 16 & 17 from demanding BUS operation.', 'SG6 is a 1-aspect (White) Bus lantern,', 'BUS DETECTOR OPERATION', 'Detectors 16 & 17 are bus detectors located on the Princes Highway East on the east approach to this intersection.']"
44,45,1400_sheet013.htm,1400.0,CHRISTIES ROAD/WESTERN FWY EXIT RAMP,2016-10-26 00:00:00,MELTON,"['- Set by bus on detectors 3 and 4.', 'Detectors 3-6 (Bus Operation)', 'Timer status for the bus calls can be monitored by observing the LED display on the front panel as follows:', 'Bus calls are cancelled and timers reset if the timers have been expired for more than one cycle.']"
45,46,1506_sheet001.htm,1506.0,"PRINCES HIGHWAY / TIMBERTOP BOULEVARD /
  FAIRWEATHER PARADE",2016-02-08 00:00:00,CARDINIA,"['( VEHICLE, VEHICLE FOR BUS )']"
46,47,1506_sheet004.htm,1506.0,"PRINCES HIGHWAY / TIMBERTOP BOULEVARD /
  FAIRWEATHER PARADE",2016-02-08 00:00:00,CARDINIA,"['Bus Detector', 'Bus Detector']"
47,48,1506_sheet013.htm,1506.0,"PRINCES HIGHWAY / TIMBERTOP BOULEVARD /
  FAIRWEATHER PARADE",2016-02-08 00:00:00,CARDINIA,['Bus display']
48,49,1522_sheet004.htm,1522.0,HALLAM ROAD NR IVAN CRESCENT,2013-02-11 00:00:00,CASEY,"['Vehicle Loop - Bus, Approach 1^', 'Vehicle Loop - Bus, Approach 1^^']"
49,50,1522_sheet011.htm,1522.0,HALLAM ROAD NR IVAN CRESCENT,2013-02-11 00:00:00,CASEY,"['\x96 Inhibit Bus Operation via Detectors 5 & 10.', 'BUS SIGNAL GROUP AND DETECTOR OPERATION', 'SG 5 is a bus signal group (single aspect white \x91B\x92 display).', 'Detectors 5 & 10 for Bus Operation', 'Inhibit Bus Operation (of']"
50,51,1534_sheet013.htm,1534.0,CRAIGIEBURN ROAD / LYGON STREET,2015-11-11 00:00:00,HUME,"['- Set by bus on detector 1 and 12.', '- Set by bus leaving detector 1.', 'Detectors 1, 11 & 12 (Bus Operation)', 'Detector 11 \x96 Detector 11 identifies a second bus. If detector 11 is continuously ON, ignore detector 11\x92s function until detector 11 changes state from OFF to ON.', 'Bus leaving detector 1 sets MSS2 for 4 seconds.', 'Clears bus demands during SG6 green and yellow.']"
51,52,1561_sheet013.htm,1561.0,MCDONALDS ROAD/SOUTHLEE DRIVE,2014-11-21 00:00:00,WHITTLESEA,"['- Set by bus on detectors 10 and 11.', '- Set by bus leaving detector 11.', 'AØ with a bus demand via detector 11.', 'Detectors 10 & 11(Bus Operation)', 'Bus on detectors 10 and 11 set MSS1.', 'Bus leaving detector 11 sets MSS2.']"
52,53,1562_sheet004.htm,1562.0,"PRINCES HIGHWAY EAST / STARLING ROAD / SIDING
  AVENUE",2015-02-19 00:00:00,CARDINIA,"['BUS Loop', 'BUS Loop', 'BUS Loop EB', 'BUS Loop WB']"
53,54,1562_sheet012.htm,1562.0,"PRINCES HIGHWAY EAST / STARLING ROAD / SIDING
  AVENUE",2015-02-19 00:00:00,CARDINIA,"['Bus display', 'Bus display', 'SG7 is a 1-aspect (W) Bus \x91B\x92 displays.', 'SG8 is a 1-aspect (W) Bus \x91B\x92 displays.']"
54,55,1704_sheet004.htm,1704.0,FRANKSTON-DANDENONG ROAD / YAZAKI WAY,2015-02-12 00:00:00,FRANKSTON,"['BUS Loop', 'BUS Loop']"
55,56,1704_sheet013.htm,1704.0,FRANKSTON-DANDENONG ROAD / YAZAKI WAY,2015-02-12 00:00:00,FRANKSTON,"['(Refer to Bus Detector Operation)', 'BUS DETECTOR OPERATION']"
56,57,1707_sheet001.htm,1707.0,BRIDGE ROAD NR BOSISTO STREET,2015-10-19 00:00:00,YARRA,"['BARIS ERAL, TRAM AND BUS PROJECTS', 'TRAM AND BUS PROJECTS - SIGNAL INSTALLATION']"
57,58,1717_sheet004.htm,1717.0,NEPEAN HIGHWAY NR TOWER ROAD,2015-09-03 00:00:00,MORNINGTON PENINSULA,"['Bus Loop, Extend SG1, Approach 1 *', 'Bus Loop']"
58,59,1717_sheet007.htm,1717.0,NEPEAN HIGHWAY NR TOWER ROAD,2015-09-03 00:00:00,MORNINGTON PENINSULA,"['(Bus display)', '(Bus display)', ""SG5 is a 1-aspect (W) Bus 'B' display"", 'BUS DETECTORS 5 and 10']"
59,60,1717_sheet008.htm,1717.0,NEPEAN HIGHWAY NR TOWER ROAD,2015-09-03 00:00:00,MORNINGTON PENINSULA,"['e controller is on line to SCATS and a Bus detector 5 and/or 10 is continuously on for the periods', 'curs then do not invoke the operation as described above (i.e. ignore Bus detectors operation).']"
60,61,1717_sheet010.htm,1717.0,NEPEAN HIGHWAY NR TOWER ROAD,2015-09-03 00:00:00,MORNINGTON PENINSULA,['Timer 1: Duration of SG5 (BUS display) green']
61,62,1720_sheet004.htm,1720.0,SLADEN STREET NR CODRINGTON STREET,2016-06-03 00:00:00,CASEY,"['Bus lane Queue loop', 'Bus loop 1', 'Bus loop 2']"
62,63,1720_sheet007.htm,1720.0,SLADEN STREET NR CODRINGTON STREET,2016-06-03 00:00:00,CASEY,"['Inhibit Detectors 11 & 12 from calling SG3 (Bus display)', '(Bus display)', 'SG3 is conditional on a Bus demand and/or Pedestrian P1 demand', 'SG3 is a 1-aspect (W) Bus \x91B\x92 displays.', 'BUS DETECTOR OPERATION']"
63,64,1781_sheet002.htm,1781.0,BRIDGE INN ROAD / SCHOTTERS ROAD / STATION ACCESS,2018-04-05 00:00:00,WHITTLESEA,['SG8 IS A 3-ASPECT (R/Y/W) BUS DISPLAY']
64,65,1781_sheet008.htm,1781.0,BRIDGE INN ROAD / SCHOTTERS ROAD / STATION ACCESS,2018-04-05 00:00:00,WHITTLESEA,['IGNORE BUS CALL (SG8) IN BØ']
65,66,1781_sheet013.htm,1781.0,BRIDGE INN ROAD / SCHOTTERS ROAD / STATION ACCESS,2018-04-05 00:00:00,WHITTLESEA,"['If detector 8 is ON for the time in Special Purpose Timesetting No. 12, call SG8 in DØ but ignore bus call (SG8) in BØ and EØ until detector 8 changes state from OFF to ON.']"
66,67,0559_sheet004.htm,559.0,HALLAM RD / SOMERVILLE RD / WARANA DR,2013-12-12 00:00:00,CASEY,"['SG 14 (BUS)', 'SG 14 (BUS)', 'SG 15 (BUS)', 'SG 15 (BUS)']"
67,68,0559_sheet012.htm,559.0,HALLAM RD / SOMERVILLE RD / WARANA DR,2013-12-12 00:00:00,CASEY,"['Signal Groups 14 & 15 operate as bus \x93early starts\x94 and their operation is detailed on Pages 4/4 and 4/5, respectively.', 'BUS EARLY START OPERATION (SIGNAL GROUP 14)', 'Detectors 1 & 2 \x96 Bus Detection', 'BUS EARLY START OPERATION (SIGNAL GROUP 15)', 'Detectors 10 & 11 \x96 Bus Detection']"
68,69,0575_sheet001.htm,575.0,EASTERN FREEWAY / BLACKBURN ROAD INTERCHANGE,2017-09-14 00:00:00,MANNINGHAM,"['Addition of Bus Detectors on north approach right turn. Addition of bus extension', '( VEHICLE FOR BUS )']"
69,70,0575_sheet004.htm,575.0,EASTERN FREEWAY / BLACKBURN ROAD INTERCHANGE,2017-09-14 00:00:00,MANNINGHAM,"['BUS', 'Advance Bus', 'BUS', 'Advance Bus', 'BUS']"
70,71,0575_sheet009.htm,575.0,EASTERN FREEWAY / BLACKBURN ROAD INTERCHANGE,2017-09-14 00:00:00,MANNINGHAM,['* Presence time only applies to bus detection operation']
71,72,0575_sheet013.htm,575.0,EASTERN FREEWAY / BLACKBURN ROAD INTERCHANGE,2017-09-14 00:00:00,MANNINGHAM,"['(i.e. when bus priority is activated)', 'CØ is a bus extension phase.', 'Refer Bus Priority for CØ operation.', 'BUS PRIORITY OPERATION', 'Detectors 10, 22, 23 and 24 are used for bus priority operation for southbound buses turning right onto the Eastern Freeway.', '(advance bus detectors)', 'If above conditions are met, Special Counter 1 is incremented by one & Timer 4 is reset for every bus. If Special Counter 1 is set to 8, it will instead be reset to zero.', 'If above conditions are met, Special Counter 1 is decremented by one for every bus however Special counter 1 is not reduced below zero.', 'If any of the detectors 10, 22, 23 or 24 is alarmed bus priority will not operate and Special Counter 1 is set to zero.']"
72,73,0606_sheet004.htm,606.0,POWER ROAD / PAPERBARK STREET / BOX STREET,2016-12-09 00:00:00,CASEY,"['BUS', 'BUS', 'BUS', 'BUS']"
73,74,0606_sheet013.htm,606.0,POWER ROAD / PAPERBARK STREET / BOX STREET,2016-12-09 00:00:00,CASEY,['FAULT STATUS FOR BUS DETECTORS']
74,75,0666_sheet004.htm,666.0,"JACKSONS
  RD NR AHERN ST & WHITEHAVEN CR",2010-08-24 00:00:00,GREATER DANDENONG,"['Bus detector', 'Bus detector']"
75,76,0666_sheet009.htm,666.0,"JACKSONS
  RD NR AHERN ST & WHITEHAVEN CR",2010-08-24 00:00:00,GREATER DANDENONG,"['2. Bus being detected via detectors 4 and 5', 'OPERATION OF BUS DETECTORS 4 AND 5', '(Bus Detectors)', '(Bus Detectors)']"
76,77,0673_sheet004.htm,673.0,"FOSTER
  STREET / ROBINSON STREET",2012-02-13 00:00:00,GREATER DANDENONG,['BUS']
77,78,0687_sheet001.htm,687.0,"WILLIAMSONS
  ROAD / GEORGE STREET",2011-02-24 00:00:00,MANNINGHAM,"['NATHAN GANESHANATHAN, TRAM & BUS PROJECTS - METRO SOUTH EAST', 'TRAM & BUS PROJECTS - SIGNAL INSTALLATION']"
78,79,0687_sheet008.htm,687.0,"WILLIAMSONS
  ROAD / GEORGE STREET",2011-02-24 00:00:00,MANNINGHAM,"['Presence time for detector 4 (Bus detector).', 'Presence time for detector 17 (Bus detector).', 'Presence time for detector 19 (Bus detector).']"
79,80,0694_sheet001.htm,694.0,"HEIDELBERG-WARRANDYTE
  ROAD NR MELBOURNE HILL ROAD",2011-12-09 00:00:00,MANNINGHAM,"['Provision of bus loop, bus push button detector and', 'bus white light display.']"
80,81,0694_sheet004.htm,694.0,"HEIDELBERG-WARRANDYTE
  ROAD NR MELBOURNE HILL ROAD",2011-12-09 00:00:00,MANNINGHAM,['Bus detector - refer to Special Notes on page 3']
81,82,0694_sheet009.htm,694.0,"HEIDELBERG-WARRANDYTE
  ROAD NR MELBOURNE HILL ROAD",2011-12-09 00:00:00,MANNINGHAM,"['Bus U-turn operation', 'Bus being detected by bus loop i.e. Detector 4.', 'Back-up bus push button activated by bus drivers via Detector 6', 'BUS U-TURN OPERATION', '(bus loop)', '(bus back-up push button)', 'activate the bus U-turn operation at this POS.', 'Activation of the bus U-turn operation consists of the placement of a demand for P1, closing down SG3 and SG1 prior to the introduction of P1 and activating a white indication lamp', '(i.e. remains occupied by bus)', '(i.e. bus has vacated loop)', 'Alarm status \x96 bus Detector 4', 'Detector 6 (Back-up Push Button for Bus Drivers)', 'Detector 6 has been provided as an alternative means to that of bus loop', 'in placing a demand for P1 i.e. if bus loop detector 4 fails', '. This should prevent nuisance demands for Bus U-turn operation if the back-up push button is activated by the general public.', 'MSS1 is set when P1 is demanded via Detector 4 and/or Detector 6. MSS1 will be cleared when P1 solid don\x92t walk is operating (and SG 3 is red) or if the bus U-turn demand has cleared.', 'Activation of the white indication lamp advises the stationary bus drivers at the bus stop (on the south side of Heidelberg-Warrandyte Road) that P1 is in walk or flashing clearance and SG3 is red.', '(if bus U-turn operation is demanded)']"
82,83,0710_sheet002.htm,710.0,"DVH/MONASH
  FWY (NORTH RAMPS)",2011-09-28 00:00:00,GREATER DANDENONG,"[""SG5 is a single-aspect white 'B' (Bus) display.""]"
83,84,0710_sheet004.htm,710.0,"DVH/MONASH
  FWY (NORTH RAMPS)",2011-09-28 00:00:00,GREATER DANDENONG,['BUS DETECTOR']
84,85,0710_sheet013.htm,710.0,"DVH/MONASH
  FWY (NORTH RAMPS)",2011-09-28 00:00:00,GREATER DANDENONG,"['Inhibits detector 6 from calling SG5 (bus priority \x96 \x91B\x92 lantern)', 'SIGNAL GROUP 5 \x96 BUS EARLY START OPERATION']"
85,86,0717_sheet004.htm,717.0,"MAIN
  ROAD NR PRYOR STREET",2010-06-29 00:00:00,NILLUMBIK,['Vehicle loop - Bus']
86,87,0717_sheet011.htm,717.0,"MAIN
  ROAD NR PRYOR STREET",2010-06-29 00:00:00,NILLUMBIK,"['BUS OPERATION', 'BUS DETECTOR OPERATION', 'MSS4 is set when P1 runs and P1 has been demanded by detector 10 (bus).']"
87,88,0723_sheet001.htm,723.0,"BURWOOD
  HIGHWAY / STATION STREET",2007-12-18 00:00:00,KNOX,['Bus Loop operation added']
88,89,0723_sheet002.htm,723.0,"BURWOOD
  HIGHWAY / STATION STREET",2007-12-18 00:00:00,KNOX,"['P8 Wait State drives a fibre optic ""Give Way To Bus"" sign.']"
89,90,0723_sheet004.htm,723.0,"BURWOOD
  HIGHWAY / STATION STREET",2007-12-18 00:00:00,KNOX,['Bus Loop']
90,91,0723_sheet012.htm,723.0,"BURWOOD
  HIGHWAY / STATION STREET",2007-12-18 00:00:00,KNOX,"['- Disable fibre optic \x93Give Way To Bus\x94 sign.', 'is a Bus Loop', 'When the presence timer for detector 12 expires, active the fibre optic \x93Give Way To Bus\x94 sign at the start of BØ.', 'The \x93Give Way To Bus\x94 sign turns off in BØ when the detector 12 is not occupied.', 'The \x93Give Way To Bus\x94 sign turns off at end of BØ if the detector 12 is still occupied.', 'MSS1 flag is set for the period the \x91GIVE WAY TO BUS\x92 sign operates', 'If XSF 6 is set disable the function for the \x91Give Way To Bus\x92 sign', 'P8 Wait State drives the fibre optic \x93Give Way To Bus\x94 sign during B', 'The fibre optic \x93Give Way To Bus\x94 sign operation is disabled when XSF6 is set.']"
91,92,0734_sheet002.htm,734.0,"DANDENONG-FRANKSTON
  ROAD NR BAWDEN STREET",2012-06-07 00:00:00,FRANKSTON,['Detectors 7 -> 8 are bus detector loops.']
92,93,0734_sheet003.htm,734.0,"DANDENONG-FRANKSTON
  ROAD NR BAWDEN STREET",2012-06-07 00:00:00,FRANKSTON,"['BUS CONTROL', '* SG1 is conditional on a bus demand.', '* SG1 is conditional on Pedestrian (P1) demand and/or a bus']"
93,94,0734_sheet011.htm,734.0,"DANDENONG-FRANKSTON
  ROAD NR BAWDEN STREET",2012-06-07 00:00:00,FRANKSTON,"['However, when the controller receives a request for the Bus Signal Group (SG5) from detectors 7 & 8 at the Bus Stop, the Bus Movement (SG5), the west bound traffic movement (SG1) and Pedestrian Movement 1(SG3) will be controlled as described in', 'BUS CONTROL', 'When XSF1 is set Bus Control is enabled to operate.', 'The Bus Signal Group (SG5) Operation:', 'SG5 is demanded by the Detectors 7 and 8 located in the Bus Bay.']"
94,95,0781_sheet004.htm,781.0,"STUD
  ROAD / GEORGE STREET",2012-07-24 00:00:00,KNOX,"['Bus lane loop', 'Bus lane loop']"
95,96,0781_sheet012.htm,781.0,"STUD
  ROAD / GEORGE STREET",2012-07-24 00:00:00,KNOX,"['SG7 is a single aspect bus \x91B\x92 displays, which is demanded via detector 2.', 'Detector 2 is a vehicle loop used to call SG7 ( Bus \x91B\x92 lantern display).']"
96,97,0785_sheet001.htm,785.0,DANDENONG VALLEY HWY (STUD ROAD / HIGH STREET ROAD,2015-07-22 00:00:00,KNOX,"['Intersection remodel, addition of a Bus lane on Nth Approach, addition of right']"
